Mnemonic_Bodystyle;Mnemonic_Vehicle;Brand;Vehicle;Country;Region;ProductionPlant;SalesParent;Platform;Program;Bodystyle;Bodytype;SOP_Year;SOP_Month;EOP_Year;EOP_Month
117561;117561;Audi;A3;Brazil;South;Sao Jose dos Pinhais;0;MQB A/B;AU390;Premium;Sedan - 4D;2027;10;2033;9
117557;B001220201;Audi;A3;Brazil;South;Sao Jose dos Pinhais;Volkswagen;MQB A/B;AU370;Premium;Sedan - 4D;2015;9;2021;12
117562;B001234001;Audi;A3;Brazil;South;Sao Jose dos Pinhais;Volkswagen;MQB A/B;AU380;Premium;Sedan - 4D;2022;0;2028;3
117563;117563;Audi;Q3;Brazil;South;Sao Jose dos Pinhais;0;MQB A/B;AU336;Premium;SUV - 4D;2026;1;2032;12
117558;B001254201;Audi;Q3;Brazil;South;Sao Jose dos Pinhais;Volkswagen;PQ35;AU316;Premium;SUV - 4D;2016;3;2018;9
117564;B001205001;Audi;Q3;Brazil;South;Sao Jose dos Pinhais;Volkswagen;MQB A/B;AU326;Premium;SUV - 4D;2018;10;2025;12
131671;131671;Mercedes-Benz;Sprinter;Argentina;0;Gonzales Catan;0;NCV5;VS30(2);Van;Van - 2D/1SL;2030;1;2039;12
114404;B000598101;Mercedes-Benz;Sprinter;Argentina;0;Gonzales Catan;Daimler;NCV3;NCV3;Van;Van - 2D/1SL;2007;1;2019;10
125684;B002000604;Mercedes-Benz;Sprinter;Argentina;0;Gonzales Catan;Daimler;NCV3;NCV3;Van;Van - 2D/1SL;2012;1;2019;10
131646;B002000570;Mercedes-Benz;Sprinter;Argentina;0;Gonzales Catan;Daimler;NCV3;NCV3;Van;Van - 2D/1SL;2012;1;2019;10
125685;B002000605;Mercedes-Benz;Sprinter;Argentina;0;Gonzales Catan;Daimler;NCV4;VS30;Van;Van - 2D/1SL;2019;7;2029;12
108009;B001286101;Mercedes-Benz;Sprinter;Argentina;0;Gonzales Catan;Daimler;NCV4;VS30;Van;Van - 2D/1SL;2019;7;2029;12
131670;B002000601;Mercedes-Benz;Sprinter;Argentina;0;Gonzales Catan;Daimler;NCV4;VS30;Van;Van - 2D/1SL;2019;11;2029;12
130809;130809;Mercedes-Benz;Sprinter;Argentina;0;Gonzales Catan;0;NCV5;VS30(2);Van;Van - 2D/1SL;2030;1;2039;12
130810;130810;Mercedes-Benz;Sprinter;Argentina;0;Gonzales Catan;0;NCV5;VS30(2);Van;Van - 2D/1SL;2030;1;2039;12
116329;B001048601;Mercedes-Benz;Vito;Argentina;0;Gonzales Catan;Daimler;NCV2;VS20;Van;Van - 2D/1SL;2015;6;2019;12
127748;B001402462;Mercedes-Benz;X-Class;Argentina;0;Cordoba;Daimler;X61B;VS40;Pickup Truck;Pickup - 4D;2019;3;2026;12
137663;137663;Mercedes-Benz;X-Class;Argentina;0;Cordoba;0;X70X;VS40(2);Pickup Truck;Pickup - 4D;2027;1;2034;6
144935;B002001942;Mercedes-Benz;A-Class;Brazil;0;Iracemapolis;A-Class;MFA;W177;Premium;Sedan - 4D LWB;2020;6;2026;12
144936;144936;Mercedes-Benz;A-Class;Brazil;0;Iracemapolis;A-Class;MFA(2);W177(2);Premium;Sedan - 4D;2027;1;2034;7
127498;127498;Mercedes-Benz;C-Class;Brazil;Southeast;Iracemapolis;0;MRA MID-SIZE(2);W207;Premium;Sedan - 4D;2029;1;2035;12
119540;B001204101;Mercedes-Benz;C-Class;Brazil;Southeast;Iracemapolis;Daimler;MRA MID-SIZE;W205;Premium;Sedan - 4D;2016;3;2021;12
119541;B001401952;Mercedes-Benz;C-Class;Brazil;Southeast;Iracemapolis;Daimler;MRA MID-SIZE;W206;Premium;Sedan - 4D;2022;1;2028;12
124636;124636;Mercedes-Benz;GLA;Brazil;Southeast;Iracemapolis;0;MFA(2);H247(2);Premium;SUV - 4D;2028;1;2034;12
119538;B001241001;Mercedes-Benz;GLA;Brazil;Southeast;Iracemapolis;Daimler;MFA;X156;Premium;SUV - 4D;2016;9;2020;12
119539;B001325101;Mercedes-Benz;GLA;Brazil;Southeast;Iracemapolis;Daimler;MFA;H247;Premium;SUV - 4D;2021;1;2027;12
111876;B000602101;Volkswagen;Amarok;Argentina;0;General Pacheco;Volkswagen;RPU;VN417;Pickup Truck;Pickup - 2D;2009;11;2022;7
111877;B000386401;Volkswagen;Amarok;Argentina;0;General Pacheco;Volkswagen;RPU;VN417;Pickup Truck;Pickup - 4D;2009;11;2022;7
110141;B002000702;Volkswagen;Amarok;Argentina;0;General Pacheco;Volkswagen;T6;VN427;Pickup Truck;Pickup - 2D;2023;10;2033;9
110142;B002000703;Volkswagen;Amarok;Argentina;0;General Pacheco;Volkswagen;T6;VN427;Pickup Truck;Pickup - 4D;2022;8;2033;9
107000;B001243301;Volkswagen;Spacefox;Argentina;0;General Pacheco;Volkswagen;PQ24;VW218;MPV;MPV - 4D;2006;3;2018;6
139910;B002000852;Volkswagen;Tarek;Argentina;0;General Pacheco;Volkswagen;MQB A/B;VW316/5;SUV;SUV - 4D;2021;1;2026;12
139911;B002002603;Volkswagen;Tarek;Argentina;0;General Pacheco;Volkswagen;MQB A/B;VW326/5;SUV;SUV - 4D;2027;1;2031;12
108994;B000374102;Volkswagen;Fox;Brazil;South;Sao Jose dos Pinhais;Volkswagen;PQ24;VW219;Hatchback;Hatchback - 4D;2003;10;2019;12
104168;B001326002;Volkswagen;Gol;Brazil;Southeast;Sao Bernardo do Campo;Volkswagen;PQ22;VW230SA;Hatchback;Hatchback - 4D;2008;6;2017;7
105741;B001326101;Volkswagen;Gol;Brazil;Southeast;Taubate;Volkswagen;PQ22;VW230SA;Hatchback;Hatchback - 4D;2008;6;2021;8
103393;B002001821;Volkswagen;Polo PA;Brazil;Southeast;Taubate;Volkswagen;MQB A0;A00;Hatchback;Hatchback - 3D;2023;3;2030;12
108883;B001238801;Volkswagen;Golf;Brazil;South;Sao Jose dos Pinhais;Volkswagen;MQB A/B;VW370;Hatchback Mid;Hatchback - 4D;2015;4;2019;2
113351;B000767201;Volkswagen;Polo;Brazil;Southeast;Sao Bernardo do Campo;Volkswagen;MQB A0;VW270;Hatchback;Hatchback - 4D;2017;8;2032;12
113049;B002001743;Volkswagen;Polo;Brazil;Southeast;Sao Bernardo do Campo;Volkswagen;MQB A0;VW280;Hatchback;Hatchback - 4D;2021;10;2032;5
139909;139909;Volkswagen;Polo Cross;Brazil;Southeast;Sao Bernardo do Campo;0;MQB A0;VW280/3;SUV;SUV - 4D;2027;8;2032;3
139908;B002002601;Volkswagen;Polo Cross;Brazil;Southeast;Sao Bernardo do Campo;Volkswagen;MQB A0;VW270/3;SUV;SUV - 4D;2020;4;2027;7
106800;B000603901;Volkswagen;Saveiro;Brazil;Southeast;Sao Bernardo do Campo;Volkswagen;PQ22;VN237SA;Pickup Small;Pickup - 2D;2009;8;2025;12
106801;B000603902;Volkswagen;Saveiro;Brazil;Southeast;Sao Bernardo do Campo;Volkswagen;PQ22;VN237SA;Pickup Small;Pickup - 2D/E;2009;8;2023;6
132807;B002002602;Volkswagen;Tarok;Brazil;Southeast;General Pacheco;Volkswagen;MQB A1;VW347;Pickup Mid;Pickup - 2D/E;2022;6;2029;12
113789;B001045501;Volkswagen;Tarok;Brazil;Southeast;Sao Bernardo do Campo;Volkswagen;MQB A1;VN3XX;Pickup Mid;Pickup - 4D;2023;1;2029;6
132809;132809;Volkswagen;Tarok;Argentina;South;General Pacheco;0;MQB A1;VW347(2);Pickup Mid;Pickup - 4D;2030;1;2035;4
117692;B001401227;Volkswagen;T-Cross;Brazil;South;Sao Jose dos Pinhais;Volkswagen;MQB A0;VW216;SUV;SUV - 4D;2019;2;2025;12
117688;B002001741;Volkswagen;T-Cross;Brazil;South;Sao Jose dos Pinhais;Volkswagen;MQB A0;VW226;SUV;SUV - 4D;2026;1;2031;9
125193;125193;Volkswagen;up!;Brazil;Southeast;Taubate;0;MQB A0;A00(2);Hatchback;Hatchback - 4D;2028;12;2035;11
103985;B000695502;Volkswagen;up!;Brazil;Southeast;Taubate;Volkswagen;PQ12;VW120;Hatchback;Hatchback - 3D;2013;12;2018;12
117720;B001246101;Volkswagen;up!;Brazil;Southeast;Taubate;Volkswagen;PQ12;VW120;Hatchback;Hatchback - 4D;2013;12;2023;10
110653;B000796801;Volkswagen;Virtus;Brazil;Southeast;Sao Bernardo do Campo;Volkswagen;MQB A0;VW271SA;Sedan Small;Sedan - 4D;2017;11;2032;4
114746;B002001742;Volkswagen;Virtus;Brazil;Southeast;Sao Bernardo do Campo;Volkswagen;MQB A0;VW281SA;Sedan Small;Sedan - 4D;2021;9;2032;5
101652;B001326201;Volkswagen;Voyage;Brazil;Southeast;Taubate;Volkswagen;PQ22;VW231SA;Sedan Small;Sedan - 4D;2008;9;2021;8
125192;B002001822;Volkswagen;Voyage;Brazil;Southeast;Taubate;Volkswagen;MQB A0;A00;Sedan Small;Sedan - 4D;2023;3;2030;12
139914;0;Chevrolet;C-CUV;Argentina;0;Rosario;C-CUV;VSS-F B/C;9BYC;SUV;SUV - 4D;2021;3;2028;2
139915;139915;Chevrolet;C-CUV;Argentina;0;Rosario;0;VSS-F B/C;9BYC(2);SUV;SUV - 4D;2027;9;2034;8
127771;127771;Chevrolet;Cruze;Argentina;0;Rosario;0;VSS-F B/C;9CLC(2);Sedan;Sedan - 4D;2030;1;2035;4
127772;127772;Chevrolet;Cruze;Argentina;0;Rosario;0;VSS-F B/C;9CLC(2);Hatchback Mid;Hatchback - 4D;2030;1;2035;10
111364;B000779501;Chevrolet;Cruze;Argentina;0;Rosario;General Motors;GLOBAL DELTA/D2XX;D2LC;Sedan;Sedan - 4D;2016;2;2023;4
112722;B000779502;Chevrolet;Cruze;Argentina;0;Rosario;General Motors;GLOBAL DELTA/D2XX;D2LC;Hatchback Mid;Hatchback - 4D;2016;11;2023;10
105403;B002001768;Chevrolet;Cruze;Argentina;0;Rosario;General Motors;VSS-F B/C;9CLC;Sedan;Sedan - 4D;2023;5;2030;12
101279;B002001767;Chevrolet;Cruze;Argentina;0;Rosario;General Motors;VSS-F B/C;9CLC;Hatchback Mid;Hatchback - 4D;2023;11;2030;12
107315;B001079301;Chevrolet;Trailblazer;Argentina;0;Rosario;General Motors;31XX/32XX;GMi31UX(2);SUV;SUV - 4D;2022;6;2029;5
141698;B002001752;Chevrolet;B-CUV;Brazil;Southeast;Sao Caetano do Sul;General Motors;VSS-F B/C;B-CUV;SUV;SUV - 4D;2022;1;2028;12
141699;141699;Chevrolet;B-CUV;Brazil;Southeast;Sao Caetano do Sul;0;VSS-F B/C;B-CUV(2);SUV;SUV - 4D;2029;1;2035;6
125108;125108;Chevrolet;B-SUV;Brazil;Southeast;Sao Caetano do Sul;0;VSS-F B/C;JBUC(2);SUV;SUV - 4D;2027;1;2033;8
143865;B002001906;Chevrolet;Cobalt;Brazil;0;Sao Caetano do Sul;Cobalt;VSS-F B/C;JCSC;Sedan;Sedan - 4D;2020;6;2027;5
143866;B002001907;Chevrolet;Cobalt;Brazil;0;Sao Caetano do Sul;Cobalt;VSS-F B/C;JCSC(2);Sedan;Sedan - 4D;2027;6;2034;5
113961;B000949001;Chevrolet;Cobalt;Brazil;Southeast;Sao Caetano do Sul;General Motors;GLOBAL GAMMA/G2XX;G1LC;Sedan Small;Sedan - 4D;2011;8;2020;12
115553;115553;Chevrolet;Colorado;Brazil;Southeast;Sao Jose dos Campos #2;0;T1XX;32XC(2);Pickup Truck;Pickup - 4D;2029;6;2036;5
115554;115554;Chevrolet;Colorado;Brazil;Southeast;Sao Jose dos Campos #2;0;T1XX;32XC(2);Pickup Truck;Pickup - 2D;2029;6;2036;5
113151;B001400869;Chevrolet;Montana;Brazil;Southeast;Sao Caetano do Sul;General Motors;GM4200;S4103;Pickup Small;Pickup - 2D;2010;9;2020;12
114829;B002001759;Chevrolet;Montana;Brazil;Southeast;Sao Caetano do Sul;General Motors;VSS-F B/C;JBRC;Pickup Mid;Pickup - 2D;2021;1;2028;12
114943;114943;Chevrolet;Montana;Brazil;Southeast;Sao Caetano do Sul;0;VSS-F B/C;JBRC(2);Pickup Mid;Pickup - 2D;2029;1;2034;6
114276;B000603601;Chevrolet;Onix;Brazil;south;Gravatai;General Motors;GLOBAL GAMMA/G2XX;G1JCB;Hatchback;Hatchback - 4D;2012;10;2019;9
108596;B000882801;Chevrolet;Onix;Brazil;south;Gravatai;General Motors;VSS-F B/C;JBJC;Hatchback;Hatchback - 4D;2019;10;2026;12
113879;JBJC(2);Chevrolet;Onix;Brazil;south;Gravatai;0;VSS-F B/C;JBJC(2);Hatchback;Hatchback - 4D;2027;1;2033;6
126781;B001400490;Chevrolet;Onix;Brazil;Southeast;Sao Caetano do Sul;General Motors;GLOBAL GAMMA/G2XX;G1JCB;Hatchback;Hatchback - 4D;2016;7;2025;8
109983;B000604601;Chevrolet;Prisma;Brazil;south;Gravatai;General Motors;GLOBAL GAMMA/G2XX;G1SCB;Sedan Small;Sedan - 4D;2013;2;2019;8
115032;B000882802;Chevrolet;Prisma;Brazil;south;Gravatai;General Motors;VSS-F B/C;JBSC;Sedan Small;Sedan - 4D;2019;9;2026;12
107180;JBSC(2);Chevrolet;Prisma;Brazil;south;Gravatai;0;VSS-F B/C;JBSC(2);Sedan Small;Sedan - 4D;2027;1;2033;8
145577;145577;Chevrolet;Prisma;Brazil;0;Sao Caetano do Sul;Prisma;GLOBAL GAMMA/G2XX;G1SCB;Sedan Small;Sedan - 4D;2020;1;2023;5
107048;B000380702;Chevrolet;S-10;Brazil;Southeast;Sao Jose dos Campos #2;General Motors;GMT355/700;GMi700;Pickup Truck;Pickup - 2D;2012;1;2022;10
107049;B000380701;Chevrolet;S-10;Brazil;Southeast;Sao Jose dos Campos #2;General Motors;GMT355/700;GMi700;Pickup Truck;Pickup - 4D;2012;1;2022;10
107050;B001105201;Chevrolet;S-10;Brazil;Southeast;Sao Jose dos Campos #2;General Motors;31XX/32XX;32XC;Pickup Truck;Pickup - 2D;2021;5;2030;12
107051;B002001788;Chevrolet;S-10;Brazil;Southeast;Sao Jose dos Campos #2;General Motors;31XX/32XX;32XC;Pickup Truck;Pickup - 4D;2022;11;2030;12
111141;B001096801;Chevrolet;Spin;Brazil;Southeast;Sao Caetano do Sul;General Motors;GLOBAL GAMMA/G2XX;G1NC;MPV;MPV - 4D;2012;7;2022;5
114555;B001097101;Chevrolet;Spin;Brazil;Southeast;Sao Caetano do Sul;General Motors;VSS-F B/C;JBNC;MPV;MPV - 4D;2022;6;2030;12
113324;113324;Chevrolet;Spin;Brazil;Southeast;Sao Caetano do Sul;0;VSS-F B/C;JBNC(2);MPV;MPV - 4D;2029;4;2036;3
125107;B001400139;Chevrolet;Tracker;Argentina;Southeast;Rosario;General Motors;VSS-F B/C;JBUC;SUV;SUV - 4D;2020;1;2030;12
113728;113728;Chevrolet;Trailblazer;Brazil;Southeast;Sao Jose dos Campos #2;0;T1XX;GMi31UX(3);SUV;SUV - 4D;2029;6;2036;5
108793;B000728901;Chevrolet;Trailblazer;Brazil;Southeast;Sao Jose dos Campos #2;General Motors;GMT355/700;GMi31UX;SUV;SUV - 4D;2012;10;2022;5
126131;0;Fiat;Cronos;Argentina;0;Cordoba;Cronos;Small/SUSW;X6S(2);Sedan;Sedan - 4D;2024;4;2031;3
126130;B001401098;Fiat;Cronos;Argentina;0;Cordoba;FCA;TYPE 199;X6S;Sedan Small;Sedan - 4D;2017;11;2030;12
109723;B001222701;Fiat;Argo;Brazil;Southeast;Betim;FCA;TYPE 199;X6H;Hatchback;Hatchback - 4D;2017;4;2024;4
112431;B002002605;Fiat;Argo;Brazil;Southeast;Betim;FCA;Small/SUSW;X6H(2);Hatchback;Hatchback - 4D;2024;5;2030;12
130808;130808;Fiat;Argo;Brazil;Southeast;Betim;0;Small/SUSW;X6H(3);Hatchback;Hatchback - 4D;2030;7;2037;6
144492;144492;Fiat;B-CUV;Brazil;0;Betim;B-CUV;Small/SUSW;X3X;SUV;SUV - 4D;2021;5;2028;4
144493;B002001910;Fiat;B-CUV;Brazil;0;Betim;B-CUV;Small/SUSW(2);X3X(2);SUV;SUV - 4D;2028;5;2035;4
126066;B002000651;Fiat;B-CUV;Brazil;Southeast;Betim;FCA;Small/SUSW;1900-12;SUV;SUV - 4D;2021;3;2026;12
126067;126067;Fiat;B-CUV;Brazil;Southeast;Betim;0;Small/SUSW(2);515(2);SUV;SUV - 4D;2027;1;2031;12
144494;Toro Fastback;Fiat;Toro Fastback;Brazil;northeast;Pernambuco;C-CUV;Small/SUSW;226SUV(2);SUV;SUV - 4D;2024;7;2029;12
144495;144495;Fiat;Toro Fastback;Brazil;northeast;Pernambuco;C-CUV;Small/SUSW(2);226SUV(3);SUV;SUV - 4D;2030;1;2037;12
106818;B000386202;Fiat;Doblo;Brazil;Southeast;Betim;FCA;178;223;Van;Van - 2D/1SL;2001;11;2020;12
106819;B000386201;Fiat;Doblo;Brazil;Southeast;Betim;FCA;178;223;Van;Van - 2D/2SL;2001;11;2020;12
111979;B001028101;Fiat;Doblo;Brazil;Southeast;Betim;FCA;TYPE 199;263;Van;Van - 2D/1SL;2021;1;2030;10
105927;B001210501;Fiat;Fiorino;Brazil;Southeast;Betim;FCA;TYPE 199;XMF;Van;Van - 2D;2013;12;2028;12
108767;108767;Fiat;Fiorino;Brazil;Southeast;Betim;0;Small/SUSW;XMF(2);Van;Van - 2D;2029;1;2038;11
B002001776;B002001776;Fiat;Freemont;Brazil;northeast;Pernambuco;0;Small/SUSW;551(2);SUV;SUV - 4D;2024;7;2031;12
107410;B001095401;Fiat;Mobi;Brazil;Southeast;Betim;FCA;TYPE 199;X1H;Hatchback;Hatchback - 4D;2016;1;2022;8
111140;B001401529;Fiat;Mobi;Brazil;Southeast;Betim;FCA;Small/SUSW;X1X;Hatchback;Hatchback - 4D;2022;9;2030;12
130440;130440;Fiat;Mobi;Brazil;Southeast;Betim;0;Small/SUSW;X1X(2);Hatchback;Hatchback - 4D;2029;9;2036;8
